Method Data,,,,,,
Method name,Panopea,,,,,
0.0005,1,-19.8,11,0.0005,,
0.0025,2,-19.9,11,0.002,,
0.005,3,-19.9,11,0.0025,,
0.0085,4,-19.8,11,0.003,,
0.015,5,-19.2,11,0.006,,
0.023,6,-18.1,11,0.0075,,
0.0315,7,-16.4,11,0.0085,,
0.039,8,-13.8,11,0.0075,,
0.0475,9,-11,11,0.0085,,
0.056,10,-8.3,11,0.0075,,
0.0645,11,-5.6,11,0.0075,,
0.073,12,-3.1,11,0.0075,,
0.0805,13,-0.5,11,0.0075,,
0.089,14,0.7,11,0.0085,,
0.097,15,2.4,11,0.0075,,
0.1055,16,4,11,0.0075,,
0.114,17,5.5,11,0.0075,,
0.1225,18,6.8,11,0.0075,,
0.13,19,8.1,11,0.0075,,
0.1385,20,9.4,11,0.0085,,
0.147,21,10.7,11,0.0075,,
0.1555,22,12,11.1,0.0075,,
0.164,23,13.2,11.1,0.0075,,
0.172,24,14.2,11.1,0.0075,,
0.18,25,15.1,11.1,0.008,,
0.188,26,15.9,11.1,0.008,,
0.1965,27,16.7,11.1,0.0085,,
0.205,28,17.5,11.1,0.0075,,
0.2135,29,18.4,11.1,0.0075,,
0.222,30,19.2,11.1,0.0075,,
0.2295,31,19.9,11.1,0.0075,,
0.238,32,20.7,11.1,0.0085,,
0.2465,33,21.5,11.1,0.0075,,
0.2545,34,22.2,11.1,0.0075,,
0.263,35,22.9,11.1,0.0075,,
0.2715,36,23.7,11.1,0.0075,,
0.279,37,24.5,11.1,0.0075,,
0.2875,38,25.1,11.1,0.0085,,
0.296,39,25.9,11.1,0.0075,,
0.3045,40,26.7,11.1,0.0075,,
0.313,41,27.4,11.1,0.0075,,
0.3215,42,28,11.2,0.0085,,
0.329,43,28.7,11.2,0.0075,,
0.337,44,29.5,11.2,0.008,,
0.3455,45,30.2,11.2,0.0075,,
0.354,46,30.8,11.2,0.0075,,
0.3625,47,31.4,11.2,0.0075,,
0.371,48,32.1,11.2,0.0085,,
0.3785,49,32.7,11.2,0.0075,,
0.387,50,33.3,11.2,0.0085,,
0.3955,51,33.9,11.2,0.0075,,
0.404,52,34.5,11.2,0.0075,,
0.412,53,35.1,11.2,0.0075,,
0.42,54,35.6,11.2,0.008,,
0.4285,55,36.3,11.2,0.0085,,
0.4365,56,36.8,11.2,0.0075,,
0.445,57,37.7,11.2,0.0075,,
0.4535,58,38.3,11.2,0.0075,,
0.462,59,39,11.2,0.0075,,
0.4695,60,39.6,11.2,0.0075,,
0.478,61,40.1,11.2,0.0085,,
0.4865,62,40.7,11.2,0.0075,,
0.4945,63,41.3,11.3,0.0075,,
0.503,64,42.1,11.3,0.0075,,
0.5115,65,42.7,11.3,0.0075,,
0.519,66,43.2,11.3,0.0075,,
0.5275,67,43.9,11.3,0.0085,,
0.536,68,44.6,11.3,0.0075,,
0.5445,69,45.3,11.3,0.0075,,
0.553,70,46,11.3,0.0075,,
0.5615,71,46.6,11.3,0.0085,,
0.569,72,47.2,11.3,0.0075,,
0.5775,73,47.9,11.3,0.0085,,
0.586,74,48.6,11.3,0.0075,,
0.594,75,49.3,11.3,0.0075,,
0.6025,76,50,11.3,0.0075,,
0.611,77,50.5,11.3,0.0085,,
0.6185,78,51.2,11.3,0.0075,,
0.627,79,51.8,11.3,0.0085,,
0.6355,80,52.5,11.3,0.0075,,
0.644,81,53.2,11.3,0.0075,,
0.6525,82,53.9,11.3,0.0075,,
0.66,83,54.6,11.3,0.0075,,
0.6685,84,55.2,11.4,0.0085,,
0.6765,85,55.8,11.4,0.008,,
0.685,86,56.6,11.4,0.0075,,
0.6935,87,57.3,11.4,0.0075,,
0.702,88,57.9,11.4,0.0075,,
0.7105,89,58.6,11.4,0.0085,,
0.718,90,59.4,11.4,0.0075,,
0.7265,91,60.1,11.4,0.0085,,
0.735,92,60.8,11.4,0.0075,,
0.743,93,61.6,11.4,0.0075,,
0.7515,94,62.3,11.4,0.0075,,
0.76,95,63.1,11.4,0.0075,,
0.7675,96,63.6,11.4,0.0075,,
0.776,97,64.3,11.4,0.0085,,
0.7845,98,65.1,11.4,0.0075,,
0.793,99,65.9,11.4,0.0075,,
0.8015,100,66.9,11.4,0.0075,,
0.8095,101,67.7,11.4,0.0075,,
0.8175,102,68.5,11.4,0.008,,
0.8255,103,69.4,11.4,0.008,,
0.834,104,70.3,11.4,0.0075,,
0.8425,105,71.4,11.5,0.0075,,
0.851,106,72.3,11.5,0.0075,,
0.8585,107,73,11.5,0.0075,,
0.867,108,73.9,11.5,0.0085,,
0.8755,109,74.8,11.5,0.0075,,
0.884,110,75.7,11.5,0.0075,,
0.8925,111,76.7,11.5,0.0075,,
0.9005,112,77.9,11.5,0.0075,,
0.9085,113,78.6,11.5,0.008,,
0.9165,114,79.5,11.5,0.008,,
0.925,115,80.5,11.5,0.0075,,
0.9335,116,81.6,11.5,0.0075,,
0.942,117,82.8,11.5,0.0075,,
0.9505,118,83.9,11.5,0.0075,,
0.958,119,85.1,11.5,0.0075,,
0.9665,120,86.3,11.5,0.0085,,
0.975,121,87.5,11.5,0.0075,,
0.9835,122,88.9,11.5,0.0075,,
0.9915,123,90,11.5,0.0075,,
1,124,91.2,11.5,0.0075,,
1.0075,125,92.5,11.5,0.0075,,
1.016,126,94.4,11.6,0.0085,,
1.0245,127,95.8,11.6,0.0075,,
1.033,128,97.4,11.6,0.0075,,
1.0415,129,99.1,11.6,0.0075,,
1.05,130,100.6,11.6,0.0085,,
1.0575,131,102.2,11.6,0.0075,,
1.066,132,103.8,11.6,0.0085,,
1.0745,133,105.7,11.6,0.0075,,
1.0825,134,107.6,11.6,0.0075,,
1.091,135,109.8,11.6,0.0075,,
1.0995,136,112,11.6,0.0075,,
1.107,137,114.1,11.6,0.0075,,
1.1155,138,116.4,11.6,0.0085,,
1.124,139,119.2,11.6,0.0075,,
1.1325,140,121.9,11.6,0.0075,,
1.141,141,124.7,11.6,0.0075,,
1.149,142,127.8,11.6,0.008,,
1.1565,143,130.9,11.6,0.0075,,
1.165,144,134,11.6,0.0085,,
1.1735,145,137.4,11.6,0.0075,,
1.182,146,140.7,11.6,0.0075,,
1.1905,147,144,11.6,0.0075,,
1.199,148,147.3,11.7,0.0075,,
1.2065,149,150.3,11.7,0.0075,,
1.215,150,153.4,11.7,0.0085,,
1.2235,151,156.5,11.7,0.0075,,
1.2315,152,159.6,11.7,0.0075,,
1.24,153,162.5,11.7,0.0075,,
1.2485,154,164.9,11.7,0.0085,,
1.256,155,167.3,11.7,0.0075,,
1.2645,156,169.8,11.7,0.0085,,
1.273,157,172,11.7,0.0075,,
1.2815,158,174,11.7,0.0075,,
1.29,159,175.7,11.7,0.0075,,
1.298,160,177.6,11.7,0.0075,,
1.306,161,179.1,11.7,0.008,,
1.314,162,180.7,11.7,0.008,,
1.3225,163,182.2,11.7,0.0075,,
1.331,164,183.5,11.7,0.0075,,
1.3415,165,185,11.7,0.0075,,
1.3415,406,188.9,12.5,0,,
1.342,407,188.9,12.5,0.001,,
1.344,408,188.9,12.5,0.0035,,
1.346,408,188.9,12.5,0.004,,
1.35,410,189.1,12.5,0.0025,,
1.356,410,189.6,12.5,0.012,,
1.3645,412,190.3,12.5,0.0055,,
1.373,413,191.3,12.5,0.014,,
1.381,414,192.2,12.5,0.0135,,
1.389,414,193,12.5,0.016,,
1.397,416,193.9,12.5,0.0055,,
1.4055,416,194.8,12.5,0.017,,
1.414,418,195.6,12.5,0.0055,,
1.4225,419,196.5,12.5,0.014,,
1.431,420,197.3,12.5,0.014,,
1.4385,420,198,12.5,0.015,,
1.447,422,198.8,12.5,0.0055,,
1.4555,422,199.6,12.5,0.017,,
1.4635,424,200.4,12.5,0.005,,
1.472,425,201,12.5,0.014,,
1.4805,426,201.7,12.5,0.014,,
1.488,426,202.3,12.5,0.015,,
1.4965,428,202.9,12.5,0.0055,,
1.505,428,203.6,12.5,0.017,,
1.5135,430,204.1,12.5,0.0055,,
1.522,431,204.8,12.5,0.014,,
1.5305,432,205.3,12.5,0.014,,
1.538,432,205.9,12.5,0.015,,
1.5465,434,206.4,12.5,0.0055,,
1.5545,434,207,12.5,0.016,,
1.563,436,207.5,12.6,0.0055,,
1.5715,437,208.1,12.6,0.014,,
1.58,438,208.6,12.6,0.014,,
1.5875,438,209,12.6,0.015,,
1.596,440,209.6,12.6,0.0055,,
1.6045,441,210.1,12.6,0.014,,
1.613,442,210.5,12.6,0.014,,
1.6215,443,211,12.6,0.014,,
1.6295,444,211.4,12.6,0.016,,
1.637,444,211.9,12.6,0.015,,
1.6455,446,212.3,12.6,0.0055,,
1.654,446,212.7,12.6,0.017,,
1.6625,448,213.1,12.6,0.0055,,
1.671,449,213.6,12.6,0.014,,
1.6795,450,213.9,12.6,0.017,,
1.687,450,214.4,12.6,0.015,,
1.6955,452,214.7,12.6,0.0055,,
1.704,453,215.1,12.6,0.014,,
1.712,454,215.5,12.6,0.0135,,
1.7205,455,215.9,12.6,0.014,,
1.729,456,216.3,12.6,0.017,,
1.7365,457,216.7,12.6,0.0125,,
1.745,458,217,12.6,0.017,,
1.7535,459,217.3,12.6,0.014,,
1.762,460,217.7,12.6,0.014,,
1.7705,461,218.1,12.6,0.014,,
1.7785,462,218.4,12.6,0.016,,
1.7865,462,218.7,12.7,0.016,,
1.7945,464,219,12.7,0.0055,,
1.803,465,219.4,12.7,0.014,,
1.8115,466,219.8,12.7,0.014,,
1.82,467,220.1,12.7,0.014,,
1.8275,468,220.4,12.7,0.015,,
1.836,468,220.6,12.7,0.017,,
1.8445,470,221,12.7,0.0055,,
1.853,471,221.2,12.7,0.014,,
1.861,472,221.5,12.7,0.0135,,
1.8695,473,221.8,12.7,0.014,,
1.878,474,222.1,12.7,0.017,,
1.8855,474,222.5,12.7,0.015,,
1.894,476,222.8,12.7,0.0055,,
1.9025,477,223.1,12.7,0.014,,
1.911,478,223.3,12.7,0.014,,
1.9195,479,223.6,12.7,0.014,,
1.928,480,223.8,12.7,0.017,,
1.9355,480,224,12.7,0.015,,
1.944,482,224.4,12.7,0.0055,,
1.952,483,224.7,12.7,0.0135,,
1.9605,484,224.9,12.7,0.014,,
1.969,485,225.2,12.7,0.014,,
1.9765,486,225.4,12.7,0.015,,
1.985,486,225.7,12.7,0.017,,
1.9935,488,225.9,12.7,0.0055,,
2.002,489,226.2,12.8,0.014,,
2.0105,490,226.5,12.8,0.014,,
2.0185,491,226.8,12.8,0.0135,,
2.0265,492,226.9,12.8,0.016,,
2.035,492,227.2,12.8,0.017,,
2.043,494,227.4,12.8,0.0055,,
2.0515,495,227.7,12.8,0.014,,
2.06,496,227.9,12.8,0.014,,
2.0685,497,228.1,12.8,0.014,,
2.076,498,228.4,12.8,0.015,,
2.0845,498,228.5,12.8,0.017,,
2.093,500,228.8,12.8,0.0055,,
2.1015,501,229,12.8,0.014,,
2.1095,502,229.3,12.8,0.0135,,
2.118,503,229.4,12.8,0.014,,
2.1255,504,229.7,12.8,0.015,,
2.134,504,229.9,12.8,0.017,,
2.1425,506,230,12.8,0.0055,,
2.151,507,230.3,12.8,0.014,,
2.1595,508,230.5,12.8,0.014,,
2.168,509,230.8,12.8,0.014,,
2.1755,510,231,12.8,0.015,,
2.184,510,231.2,12.8,0.017,,
2.192,512,231.4,12.8,0.0055,,
2.2005,513,231.6,12.8,0.014,,
2.209,514,231.8,12.8,0.014,,
2.2175,515,232,12.9,0.014,,
2.225,516,232.2,12.9,0.015,,
2.2335,516,232.4,12.9,0.017,,
2.242,518,232.6,12.9,0.0055,,
2.2505,519,232.8,12.9,0.014,,
2.2585,520,233,12.9,0.0135,,
2.267,521,233.1,12.9,0.014,,
2.2745,522,233.2,12.9,0.015,,
2.283,522,233.5,12.9,0.017,,
2.2915,524,233.7,12.9,0.0055,,
2.3,525,233.9,12.9,0.014,,
2.3085,526,234.1,12.9,0.014,,
2.3155,526,234.2,12.9,0.014,,
2.323,528,234.4,12.9,0.005,,
2.3285,528,234.5,12.9,0.011,,
2.3315,530,234.6,12.9,0.002,,
2.332,531,234.8,12.9,0.001,,
2.333,532,234.8,12.9,0.0015,,
2.334,532,234.8,12.9,0.002,,
2.336,534,234.9,12.9,0.0015,,
2.3395,534,234.9,12.9,0.007,,
2.344,536,234.9,12.9,0.003,,
2.347,536,235,12.9,0.03,,
Scope 1/1, Sample 3/9 (1B),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-20,12,NaN,,
0.001,1,-20.4,12.1,0.001,,
0.0025,2,-20.5,12.1,0.0015,,
0.005,3,-20.5,12.1,0.0025,,
0.009,4,-20.3,12.1,0.0035,,
0.015,5,-19.8,12.1,0.0055,,
0.0235,6,-18.6,12.1,0.0075,,
0.032,7,-16.6,12.1,0.0075,,
0.0395,8,-14.4,12.1,0.0075,,
0.048,9,-11.6,12.1,0.0075,,
0.0565,10,-8.9,12.1,0.0075,,
0.065,11,-6.2,12.1,0.0075,,
0.0735,12,-3.9,12.1,0.0075,,
0.0815,13,-1.3,12.1,0.0075,,
0.0895,14,0,12.1,0.008,,
0.0975,15,1.6,12.1,0.0075,,
0.106,16,3,12.1,0.0075,,
0.1145,17,4.3,12.1,0.0075,,
0.123,18,5.6,12.1,0.0075,,
0.1315,19,6.7,12.1,0.0075,,
0.139,20,7.8,12.1,0.0075,,
0.1475,21,8.9,12.1,0.0075,,
0.156,22,10.1,12.1,0.0075,,
0.164,23,11.3,12.1,0.0075,,
0.1725,24,12.1,12.1,0.0075,,
0.181,25,13.1,12.1,0.0075,,
0.1885,26,13.9,12.1,0.0075,,
0.197,27,14.7,12.1,0.0075,,
0.2055,28,15.5,12.1,0.0075,,
0.214,29,16.3,12.2,0.0075,,
0.2225,30,17.1,12.2,0.0075,,
0.231,31,17.8,12.2,0.0075,,
0.2385,32,18.4,12.2,0.0075,,
0.2465,33,19.2,12.2,0.0075,,
0.255,34,19.9,12.2,0.0075,,
0.2635,35,20.5,12.2,0.0075,,
0.272,36,21.3,12.2,0.0075,,
0.2805,37,22.1,12.2,0.0075,,
0.288,38,22.7,12.2,0.0075,,
0.2965,39,23.3,12.2,0.0075,,
0.305,40,24,12.2,0.0075,,
0.3135,41,24.6,12.2,0.0075,,
0.3215,42,25.3,12.2,0.0075,,
0.33,43,26,12.2,0.0075,,
0.3375,44,26.5,12.2,0.0075,,
0.346,45,27.1,12.2,0.0075,,
0.3545,46,27.8,12.2,0.0075,,
0.363,47,28.5,12.2,0.0075,,
0.3715,48,29.1,12.2,0.0075,,
0.38,49,29.7,12.2,0.0085,,
0.3875,50,30.3,12.2,0.0075,,
0.396,51,30.9,12.2,0.0075,,
0.404,52,31.6,12.2,0.0075,,
0.4125,53,32.2,12.2,0.0075,,
0.421,54,32.9,12.2,0.0075,,
